Index,Close,SMA,EMA,RSI,StochK,StochD
79,16.90,19.70,2.25,49.33,0.00,18.72
80,16.61,19.65,2.21,47.58,0.00,5.49
81,15.51,19.45,2.07,40.07,0.00,0.00
82,16.62,19.18,2.22,35.90,16.77,5.59
83,14.52,18.70,1.94,27.17,0.00,5.59
84,15.03,18.28,2.00,30.34,6.70,7.82
85,14.02,17.77,1.87,26.78,0.00,2.23
86,14.32,17.36,1.91,30.39,3.70,3.47
87,15.28,16.87,2.04,24.61,15.54,6.41
88,14.85,16.39,1.98,24.79,10.95,10.06
89,14.82,16.01,1.98,27.74,13.05,13.18
90,14.40,15.71,1.92,30.49,7.50,10.50
91,14.06,15.35,1.87,26.69,0.79,7.11
92,14.27,15.09,1.90,31.43,6.41,4.90
93,13.98,14.88,1.86,33.96,0.00,2.40
94,14.00,14.69,1.87,35.22,0.76,2.39
95,14.11,14.59,1.88,41.07,4.92,1.89
96,13.60,14.38,1.81,29.14,0.00,1.89
97,13.20,14.28,1.76,38.09,0.00,1.64
98,12.60,14.11,1.68,28.42,0.00,0.00
99,12.45,14.00,1.66,33.54,0.00,0.00
100,12.78,13.89,1.70,33.96,11.66,3.89
101,14.30,13.82,1.91,40.86,65.37,25.68
102,14.21,13.77,1.89,43.63,73.33,50.12
103,14.15,13.72,1.89,43.37,71.73,70.14
104,14.17,13.71,1.89,47.53,88.21,77.76
105,13.44,13.66,1.79,43.85,53.51,71.15
106,12.84,13.56,1.71,36.83,21.08,54.27
107,12.32,13.44,1.64,35.34,0.00,24.86
108,12.17,13.31,1.62,34.20,0.00,7.03
109,12.71,13.21,1.69,38.75,25.35,8.45
110,12.27,13.11,1.64,39.19,4.69,10.02
111,12.18,13.04,1.62,41.27,0.47,10.17
112,11.51,12.96,1.53,40.78,0.00,1.72
113,11.42,12.89,1.52,41.20,0.00,0.16
114,10.88,12.76,1.45,34.32,0.00,0.00
115,10.63,12.49,1.42,11.69,0.00,0.00
116,10.19,12.21,1.36,10.89,0.00,0.00
117,9.06,11.84,1.21,9.02,0.00,0.00
118,9.37,11.50,1.25,13.08,6.07,2.02
119,9.47,11.22,1.26,16.18,9.36,5.14
120,9.57,10.98,1.28,19.55,13.49,9.64
121,9.83,10.80,1.31,25.64,21.10,14.65
122,10.37,10.68,1.38,33.64,35.89,23.49
123,10.91,10.55,1.45,33.64,50.68,35.89
124,10.32,10.41,1.38,32.74,39.25,41.94
125,10.28,10.27,1.37,33.04,39.10,43.01
126,10.03,10.17,1.34,35.71,39.59,39.32
127,9.36,10.02,1.25,32.12,12.71,30.47
128,8.56,9.85,1.14,30.73,0.00,17.43
129,8.28,9.69,1.10,30.58,0.00,4.24
130,8.67,9.58,1.16,37.33,14.83,4.94
131,9.23,9.59,1.23,51.57,36.12,16.98
132,9.51,9.60,1.27,51.30,46.77,32.57
133,8.84,9.55,1.18,44.72,21.29,34.73
134,9.09,9.52,1.21,46.08,30.80,32.95
135,8.91,9.45,1.19,42.38,23.95,25.35
136,9.31,9.38,1.24,41.02,39.16,31.31
137,9.44,9.27,1.26,36.61,44.11,35.74
138,9.17,9.19,1.22,38.88,43.63,42.30
139,9.31,9.12,1.24,40.80,51.50,46.41
140,9.90,9.11,1.32,48.84,92.57,62.57
141,10.23,9.18,1.36,58.25,100.00,81.36
142,9.98,9.28,1.33,65.04,87.18,93.25
143,9.83,9.39,1.31,66.88,79.49,88.89
144,10.14,9.49,1.35,66.30,94.23,86.97
145,9.11,9.48,1.21,48.80,19.42,64.38
146,8.67,9.42,1.16,41.83,0.00,37.89
147,8.30,9.39,1.11,44.42,0.00,6.47
148,8.79,9.36,1.17,47.05,25.39,8.46
149,9.97,9.44,1.33,58.72,86.53,37.31
150,10.02,9.49,1.34,56.20,89.12,67.01
151,9.83,9.52,1.31,53.37,79.27,84.97
152,9.12,9.51,1.22,49.60,42.49,70.29
153,9.40,9.52,1.25,50.71,56.99,59.59
154,8.91,9.45,1.19,42.11,31.61,43.70
155,9.08,9.37,1.21,40.59,40.41,43.01
156,9.45,9.33,1.26,45.75,62.50,44.84
157,10.03,9.34,1.34,51.50,94.02,65.65
158,10.04,9.34,1.34,49.21,94.57,83.70
159,9.71,9.38,1.29,55.30,81.03,89.87
160,9.64,9.45,1.29,59.17,77.01,84.20
161,9.50,9.54,1.27,61.86,68.97,75.67
162,9.90,9.61,1.32,61.17,88.80,78.26
163,9.40,9.57,1.25,43.36,43.36,67.04
164,9.23,9.52,1.23,41.04,28.32,53.49
165,9.55,9.50,1.27,46.92,56.64,42.77
166,9.42,9.52,1.26,53.79,45.13,43.36
167,9.57,9.53,1.28,52.22,58.41,53.39
168,9.27,9.56,1.24,54.95,31.86,45.13
169,9.24,9.57,1.23,52.29,16.67,35.64
170,9.25,9.55,1.23,46.82,2.47,17.00
171,8.92,9.47,1.19,30.80,0.00,6.38
172,8.52,9.37,1.14,26.83,0.00,0.82
173,8.74,9.30,1.17,34.70,15.94,5.31
174,8.47,9.21,1.13,32.64,0.00,5.31
175,8.34,9.13,1.11,32.74,0.00,5.31
176,8.39,9.02,1.12,24.92,3.21,1.07
177,8.86,8.98,1.18,40.94,42.28,15.16
178,9.20,8.98,1.23,49.52,69.92,38.47
179,8.92,8.94,1.19,39.87,47.15,53.12
180,9.22,8.92,1.23,46.95,71.54,62.87
181,9.33,8.90,1.24,46.30,80.49,66.40
182,9.42,8.92,1.26,52.48,100.00,84.01
183,9.80,8.96,1.31,58.28,100.00,93.50
184,9.33,8.96,1.24,51.04,67.81,89.27
